name,rating,review_count,maps_url,distance_km
La taverne,4.0,202,https://maps.google.com/?cid=5796331033308467317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.56
Velizy kebab,4.1,290,https://maps.google.com/?cid=18264822911272692789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.59
La Rocade,4.1,253,https://maps.google.com/?cid=12653338680379013015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.18
Ferreira Dos Santos Alvaro,4.0,142,https://maps.google.com/?cid=14664128475205861053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.91
Le Platane,4.5,2437,https://maps.google.com/?cid=7599006454418842106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.85
Eat's Time,4.3,703,https://maps.google.com/?cid=13590943797942551114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.88
BuenoPasta78,5.0,10,https://maps.google.com/?cid=9293959883207012885&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.8
Food Factory by eat africa,5.0,9,https://maps.google.com/?cid=9249309531652679946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.82
La ref,4.7,114,https://maps.google.com/?cid=167571237366915097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.81
Ab Crousty Trappes Gare,4.9,392,https://maps.google.com/?cid=13747562391918888886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.87
MKS Trappes Chicken,4.4,47,https://maps.google.com/?cid=990906152350467182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.88
Platane Pizza,4.5,1078,https://maps.google.com/?cid=10923278676306637851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.97
Crousty One trappes,4.5,73,https://maps.google.com/?cid=14897799250509383269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.99
Cafe Hotel de Paris,4.0,324,https://maps.google.com/?cid=8398025535655775656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.19
Le Courtside | Food & Drinks,4.9,20,https://maps.google.com/?cid=18068997592653853018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.66
Le Croosty,4.2,69,https://maps.google.com/?cid=4785462873612328490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10.0
Burger King,4.9,1910,https://maps.google.com/?cid=4989918813620883914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.2
Volfoni Villejust,4.7,2383,https://maps.google.com/?cid=12433213349826521334&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.41
Au Crousty,4.1,415,https://maps.google.com/?cid=11135919904611284132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.3
Focaccia Palaiseau,4.8,276,https://maps.google.com/?cid=7069493377099908366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.5
Wesh Bro Palaiseau,4.5,22,https://maps.google.com/?cid=8027602092587944230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.92
